Host,Address,Transport,Port,Service,Depth,Subject,Issuer,"Not Valid Before","Not Valid After"
magentocommerce.com,52.202.210.198,tcp,443,https,0,"/C=US/ST=California/L=Campbell/O=Magento, Inc./CN=magento.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","May 13 00:00:00 2019 GMT","Jul 16 12:00:00 2020 GMT"
magentocommerce.com,52.202.210.198,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
magentocommerce.com,54.173.138.174,tcp,443,https,0,"/C=US/ST=California/L=Campbell/O=Magento, Inc./CN=magento.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","May 13 00:00:00 2019 GMT","Jul 16 12:00:00 2020 GMT"
magentocommerce.com,54.173.138.174,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
magentocommerce.com,54.173.148.67,tcp,443,https,0,"/C=US/ST=California/L=Campbell/O=Magento, Inc./CN=magento.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","May 13 00:00:00 2019 GMT","Jul 16 12:00:00 2020 GMT"
magentocommerce.com,54.173.148.67,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
magentolive.com,52.44.165.90,tcp,443,https,0,"/C=US/ST=California/L=Campbell/O=Magento, Inc./CN=imagine.magento.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Jan 17 00:00:00 2019 GMT","Jul  5 12:00:00 2019 GMT"
magentolive.com,52.44.165.90,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
magentolive.com,52.204.216.53,tcp,443,https,0,"/C=US/ST=California/L=Campbell/O=Magento, Inc./CN=imagine.magento.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Jan 17 00:00:00 2019 GMT","Jul  5 12:00:00 2019 GMT"
magentolive.com,52.204.216.53,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
