Chain,Depth,Subject,Issuer,Not Valid Before,Not Valid After,# of SANs
1,0,/CN=app.grammarly.com,/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon,Nov  7 00:00:00 2018 GMT,Dec  7 12:00:00 2019 GMT,1
1,1,/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon,/C=US/O=Amazon/CN=Amazon Root CA 1,Oct 22 00:00:00 2015 GMT,Oct 19 00:00:00 2025 GMT,0
1,2,/C=US/O=Amazon/CN=Amazon Root CA 1,"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2",May 25 12:00:00 2015 GMT,Dec 31 01:00:00 2037 GMT,0
1,3,"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","/C=US/O=Starfield Technologies, Inc./OU=Starfield Class 2 Certification Authority",Sep  2 00:00:00 2009 GMT,Jun 28 17:39:16 2034 GMT,0
2,0,/CN=admin-panel.grammarly.com,/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon,Nov  7 00:00:00 2018 GMT,Dec  7 12:00:00 2019 GMT,1
2,1,/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon,/C=US/O=Amazon/CN=Amazon Root CA 1,Oct 22 00:00:00 2015 GMT,Oct 19 00:00:00 2025 GMT,0
2,2,/C=US/O=Amazon/CN=Amazon Root CA 1,"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2",May 25 12:00:00 2015 GMT,Dec 31 01:00:00 2037 GMT,0
2,3,"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","/C=US/O=Starfield Technologies, Inc./OU=Starfield Class 2 Certification Authority",Sep  2 00:00:00 2009 GMT,Jun 28 17:39:16 2034 GMT,0
3,0,/CN=auth.grammarly.com,/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon,Nov  8 00:00:00 2018 GMT,Dec  8 12:00:00 2019 GMT,1
3,1,/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon,/C=US/O=Amazon/CN=Amazon Root CA 1,Oct 22 00:00:00 2015 GMT,Oct 19 00:00:00 2025 GMT,0
3,2,/C=US/O=Amazon/CN=Amazon Root CA 1,"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2",May 25 12:00:00 2015 GMT,Dec 31 01:00:00 2037 GMT,0
3,3,"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","/C=US/O=Starfield Technologies, Inc./OU=Starfield Class 2 Certification Authority",Sep  2 00:00:00 2009 GMT,Jun 28 17:39:16 2034 GMT,0
4,0,/CN=data.grammarly.com,/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon,Nov  7 00:00:00 2018 GMT,Dec  7 12:00:00 2019 GMT,1
4,1,/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon,/C=US/O=Amazon/CN=Amazon Root CA 1,Oct 22 00:00:00 2015 GMT,Oct 19 00:00:00 2025 GMT,0
4,2,/C=US/O=Amazon/CN=Amazon Root CA 1,"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2",May 25 12:00:00 2015 GMT,Dec 31 01:00:00 2037 GMT,0
4,3,"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","/C=US/O=Starfield Technologies, Inc./OU=Starfield Class 2 Certification Authority",Sep  2 00:00:00 2009 GMT,Jun 28 17:39:16 2034 GMT,0
5,0,/CN=dox.grammarly.com,/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon,Nov  5 00:00:00 2018 GMT,Dec  5 12:00:00 2019 GMT,2
5,1,/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon,/C=US/O=Amazon/CN=Amazon Root CA 1,Oct 22 00:00:00 2015 GMT,Oct 19 00:00:00 2025 GMT,0
5,2,/C=US/O=Amazon/CN=Amazon Root CA 1,"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2",May 25 12:00:00 2015 GMT,Dec 31 01:00:00 2037 GMT,0
5,3,"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","/C=US/O=Starfield Technologies, Inc./OU=Starfield Class 2 Certification Authority",Sep  2 00:00:00 2009 GMT,Jun 28 17:39:16 2034 GMT,0
6,0,/CN=capi.grammarly.com,/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon,Nov  5 00:00:00 2018 GMT,Dec  5 12:00:00 2019 GMT,1
6,1,/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon,/C=US/O=Amazon/CN=Amazon Root CA 1,Oct 22 00:00:00 2015 GMT,Oct 19 00:00:00 2025 GMT,0
6,2,/C=US/O=Amazon/CN=Amazon Root CA 1,"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2",May 25 12:00:00 2015 GMT,Dec 31 01:00:00 2037 GMT,0
6,3,"/C=US/ST=Arizona/L=Scottsdale/O=Starfield Technologies, Inc./CN=Starfield Services Root Certificate Authority - G2","/C=US/O=Starfield Technologies, Inc./OU=Starfield Class 2 Certification Authority",Sep  2 00:00:00 2009 GMT,Jun 28 17:39:16 2034 GMT,0
7,0,/CN=subscription.grammarly.com,/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon,Nov  5 00:00:00 2018 GMT,Dec  5 12:00:00 2019 GMT,1
7,1,/C=US/O=Amazon/OU=Server CA 1B/CN=Amazon,/C=US/O=Amazon/CN=Amazon Root CA 1,Oct 22 00:00:00 2015 GMT,Oct 19 00:00:00 2025 GMT,0
