Host,Address,Transport,Port,Service,Depth,Subject,Issuer,"Not Valid Before","Not Valid After"
about.postmates.com,104.16.215.98,tcp,443,https,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=postmates.com","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","Sep  8 00:00:00 2018 GMT","Sep  8 12:00:00 2019 GMT"
about.postmates.com,104.16.215.98,tcp,443,https,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root","Oct 14 12:00:00 2015 GMT","Oct  9 12:00:00 2020 GMT"
about.postmates.com,104.16.215.98,tcp,8443,unknown,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=postmates.com","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","Sep  8 00:00:00 2018 GMT","Sep  8 12:00:00 2019 GMT"
about.postmates.com,104.16.215.98,tcp,8443,unknown,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root","Oct 14 12:00:00 2015 GMT","Oct  9 12:00:00 2020 GMT"
about.postmates.com,104.16.216.98,tcp,443,https,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=postmates.com","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","Sep  8 00:00:00 2018 GMT","Sep  8 12:00:00 2019 GMT"
about.postmates.com,104.16.216.98,tcp,443,https,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root","Oct 14 12:00:00 2015 GMT","Oct  9 12:00:00 2020 GMT"
about.postmates.com,104.16.216.98,tcp,8443,unknown,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=postmates.com","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","Sep  8 00:00:00 2018 GMT","Sep  8 12:00:00 2019 GMT"
about.postmates.com,104.16.216.98,tcp,8443,unknown,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root","Oct 14 12:00:00 2015 GMT","Oct  9 12:00:00 2020 GMT"
about.postmates.com,104.16.217.98,tcp,443,https,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=postmates.com","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","Sep  8 00:00:00 2018 GMT","Sep  8 12:00:00 2019 GMT"
about.postmates.com,104.16.217.98,tcp,443,https,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root","Oct 14 12:00:00 2015 GMT","Oct  9 12:00:00 2020 GMT"
about.postmates.com,104.16.217.98,tcp,8443,unknown,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=postmates.com","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","Sep  8 00:00:00 2018 GMT","Sep  8 12:00:00 2019 GMT"
about.postmates.com,104.16.217.98,tcp,8443,unknown,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root","Oct 14 12:00:00 2015 GMT","Oct  9 12:00:00 2020 GMT"
about.postmates.com,104.16.218.98,tcp,443,https,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=postmates.com","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","Sep  8 00:00:00 2018 GMT","Sep  8 12:00:00 2019 GMT"
about.postmates.com,104.16.218.98,tcp,443,https,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root","Oct 14 12:00:00 2015 GMT","Oct  9 12:00:00 2020 GMT"
about.postmates.com,104.16.218.98,tcp,8443,unknown,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=postmates.com","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","Sep  8 00:00:00 2018 GMT","Sep  8 12:00:00 2019 GMT"
about.postmates.com,104.16.218.98,tcp,8443,unknown,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root","Oct 14 12:00:00 2015 GMT","Oct  9 12:00:00 2020 GMT"
about.postmates.com,104.16.219.98,tcp,443,https,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=postmates.com","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","Sep  8 00:00:00 2018 GMT","Sep  8 12:00:00 2019 GMT"
about.postmates.com,104.16.219.98,tcp,443,https,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root","Oct 14 12:00:00 2015 GMT","Oct  9 12:00:00 2020 GMT"
about.postmates.com,104.16.219.98,tcp,8443,unknown,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=postmates.com","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","Sep  8 00:00:00 2018 GMT","Sep  8 12:00:00 2019 GMT"
about.postmates.com,104.16.219.98,tcp,8443,unknown,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root","Oct 14 12:00:00 2015 GMT","Oct  9 12:00:00 2020 GMT"
buyer-prod.postmates.com,104.16.215.98,tcp,443,https,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=postmates.com","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","Oct  1 00:00:00 2018 GMT","Oct  1 12:00:00 2019 GMT"
buyer-prod.postmates.com,104.16.215.98,tcp,443,https,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root","Oct 14 12:00:00 2015 GMT","Oct  9 12:00:00 2020 GMT"
buyer-prod.postmates.com,104.16.215.98,tcp,8443,unknown,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=postmates.com","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","Oct  1 00:00:00 2018 GMT","Oct  1 12:00:00 2019 GMT"
buyer-prod.postmates.com,104.16.215.98,tcp,8443,unknown,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root","Oct 14 12:00:00 2015 GMT","Oct  9 12:00:00 2020 GMT"
buyer-prod.postmates.com,104.16.216.98,tcp,443,https,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=postmates.com","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","Oct  1 00:00:00 2018 GMT","Oct  1 12:00:00 2019 GMT"
buyer-prod.postmates.com,104.16.216.98,tcp,443,https,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root","Oct 14 12:00:00 2015 GMT","Oct  9 12:00:00 2020 GMT"
buyer-prod.postmates.com,104.16.216.98,tcp,8443,unknown,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=postmates.com","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","Oct  1 00:00:00 2018 GMT","Oct  1 12:00:00 2019 GMT"
buyer-prod.postmates.com,104.16.216.98,tcp,8443,unknown,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root","Oct 14 12:00:00 2015 GMT","Oct  9 12:00:00 2020 GMT"
buyer-prod.postmates.com,104.16.217.98,tcp,443,https,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=postmates.com","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","Oct  1 00:00:00 2018 GMT","Oct  1 12:00:00 2019 GMT"
buyer-prod.postmates.com,104.16.217.98,tcp,443,https,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root","Oct 14 12:00:00 2015 GMT","Oct  9 12:00:00 2020 GMT"
buyer-prod.postmates.com,104.16.217.98,tcp,8443,unknown,0,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=postmates.com","/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","Oct  1 00:00:00 2018 GMT","Oct  1 12:00:00 2019 GMT"
buyer-prod.postmates.com,104.16.217.98,tcp,8443,unknown,1,"/C=US/ST=CA/L=San Francisco/O=CloudFlare, Inc./CN=CloudFlare Inc ECC CA-2","/C=IE/O=Baltimore/OU=CyberTrust/CN=Baltimore CyberTrust Root","Oct 14 12:00:00 2015 GMT","Oct  9 12:00:00 2020 GMT"
