Host,Address,Transport,Port,Service,Depth,Subject,Issuer,"Not Valid Before","Not Valid After"
www.crowdstrike.com,104.18.215.225,tcp,443,https,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=5030737/C=US/ST=California/L=Irvine/O=CrowdStrike, Inc./OU=IT/CN=www.crowdstrike.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","Jun  6 00:00:00 2018 GMT","Jun 24 12:00:00 2020 GMT"
www.crowdstrike.com,104.18.215.225,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
www.crowdstrike.com,104.18.215.225,tcp,8443,unknown,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=5030737/C=US/ST=California/L=Irvine/O=CrowdStrike, Inc./OU=IT/CN=www.crowdstrike.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","Jun  6 00:00:00 2018 GMT","Jun 24 12:00:00 2020 GMT"
www.crowdstrike.com,104.18.215.225,tcp,8443,unknown,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
www.crowdstrike.com,104.18.216.225,tcp,443,https,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=5030737/C=US/ST=California/L=Irvine/O=CrowdStrike, Inc./OU=IT/CN=www.crowdstrike.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","Jun  6 00:00:00 2018 GMT","Jun 24 12:00:00 2020 GMT"
www.crowdstrike.com,104.18.216.225,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
www.crowdstrike.com,104.18.216.225,tcp,8443,unknown,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=5030737/C=US/ST=California/L=Irvine/O=CrowdStrike, Inc./OU=IT/CN=www.crowdstrike.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","Jun  6 00:00:00 2018 GMT","Jun 24 12:00:00 2020 GMT"
www.crowdstrike.com,104.18.216.225,tcp,8443,unknown,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
www.crowdstrike.com,2606:4700::6812:d7e1,tcp,443,https,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=5030737/C=US/ST=California/L=Irvine/O=CrowdStrike, Inc./OU=IT/CN=www.crowdstrike.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","Jun  6 00:00:00 2018 GMT","Jun 24 12:00:00 2020 GMT"
www.crowdstrike.com,2606:4700::6812:d7e1,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
www.crowdstrike.com,2606:4700::6812:d7e1,tcp,8443,unknown,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=5030737/C=US/ST=California/L=Irvine/O=CrowdStrike, Inc./OU=IT/CN=www.crowdstrike.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","Jun  6 00:00:00 2018 GMT","Jun 24 12:00:00 2020 GMT"
www.crowdstrike.com,2606:4700::6812:d7e1,tcp,8443,unknown,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
www.crowdstrike.com,2606:4700::6812:d8e1,tcp,443,https,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=5030737/C=US/ST=California/L=Irvine/O=CrowdStrike, Inc./OU=IT/CN=www.crowdstrike.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","Jun  6 00:00:00 2018 GMT","Jun 24 12:00:00 2020 GMT"
www.crowdstrike.com,2606:4700::6812:d8e1,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
www.crowdstrike.com,2606:4700::6812:d8e1,tcp,8443,unknown,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=5030737/C=US/ST=California/L=Irvine/O=CrowdStrike, Inc./OU=IT/CN=www.crowdstrike.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","Jun  6 00:00:00 2018 GMT","Jun 24 12:00:00 2020 GMT"
www.crowdstrike.com,2606:4700::6812:d8e1,tcp,8443,unknown,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
www.crowdstrike.org,104.20.244.69,tcp,443,https,0,"/C=US/ST=California/L=Irvine/O=CrowdStrike, Inc./OU=IT/CN=crowdstrike.org","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA","Nov  2 00:00:00 2017 GMT","Nov  6 12:00:00 2020 GMT"
www.crowdstrike.org,104.20.244.69,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
