Host,Address,Transport,Port,Service,Depth,Subject,Issuer,"Not Valid Before","Not Valid After"
quantshack.com,104.24.12.104,tcp,8443,unknown,0,"/OU=Domain Control Validated/OU=PositiveSSL Multi-Domain/CN=ssl377536.cloudflaressl.com","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Domain Validation Secure Server CA 2","May 15 00:00:00 2019 GMT","Nov 21 23:59:59 2019 GMT"
quantshack.com,104.24.12.104,tcp,8443,unknown,1,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Domain Validation Secure Server CA 2","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Certification Authority","Sep 25 00:00:00 2014 GMT","Sep 24 23:59:59 2029 GMT"
quantshack.com,104.24.12.104,tcp,8443,unknown,2,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Certification Authority","/C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root","May 30 10:48:38 2000 GMT","May 30 10:48:38 2020 GMT"
www.quantopian.com,104.20.2.106,tcp,443,https,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=5013521/C=US/ST=Massachusetts/L=Boston/O=Quantopian Inc./CN=quantopian.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","Jul  5 00:00:00 2018 GMT","Nov 16 12:00:00 2019 GMT"
www.quantopian.com,104.20.2.106,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
www.quantopian.com,104.20.2.106,tcp,8443,unknown,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=5013521/C=US/ST=Massachusetts/L=Boston/O=Quantopian Inc./CN=quantopian.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","Jul  5 00:00:00 2018 GMT","Nov 16 12:00:00 2019 GMT"
www.quantopian.com,104.20.2.106,tcp,8443,unknown,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
www.quantopian.com,104.20.3.106,tcp,443,https,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=5013521/C=US/ST=Massachusetts/L=Boston/O=Quantopian Inc./CN=quantopian.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","Jul  5 00:00:00 2018 GMT","Nov 16 12:00:00 2019 GMT"
www.quantopian.com,104.20.3.106,tcp,443,https,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
www.quantopian.com,104.20.3.106,tcp,8443,unknown,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=5013521/C=US/ST=Massachusetts/L=Boston/O=Quantopian Inc./CN=quantopian.com","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","Jul  5 00:00:00 2018 GMT","Nov 16 12:00:00 2019 GMT"
www.quantopian.com,104.20.3.106,tcp,8443,unknown,1,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA","Oct 22 12:00:00 2013 GMT","Oct 22 12:00:00 2028 GMT"
www.quantshack.com,104.24.11.104,tcp,443,https,0,"/OU=Domain Control Validated/OU=PositiveSSL Multi-Domain/CN=ssl377536.cloudflaressl.com","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Domain Validation Secure Server CA 2","May 15 00:00:00 2019 GMT","Nov 21 23:59:59 2019 GMT"
www.quantshack.com,104.24.11.104,tcp,443,https,1,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Domain Validation Secure Server CA 2","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Certification Authority","Sep 25 00:00:00 2014 GMT","Sep 24 23:59:59 2029 GMT"
www.quantshack.com,104.24.11.104,tcp,443,https,2,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Certification Authority","/C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root","May 30 10:48:38 2000 GMT","May 30 10:48:38 2020 GMT"
www.quantshack.com,104.24.11.104,tcp,8443,unknown,0,"/OU=Domain Control Validated/OU=PositiveSSL Multi-Domain/CN=ssl377536.cloudflaressl.com","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Domain Validation Secure Server CA 2","May 15 00:00:00 2019 GMT","Nov 21 23:59:59 2019 GMT"
www.quantshack.com,104.24.11.104,tcp,8443,unknown,1,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Domain Validation Secure Server CA 2","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Certification Authority","Sep 25 00:00:00 2014 GMT","Sep 24 23:59:59 2029 GMT"
www.quantshack.com,104.24.11.104,tcp,8443,unknown,2,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Certification Authority","/C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root","May 30 10:48:38 2000 GMT","May 30 10:48:38 2020 GMT"
www.quantshack.com,104.24.12.104,tcp,443,https,0,"/OU=Domain Control Validated/OU=PositiveSSL Multi-Domain/CN=ssl377536.cloudflaressl.com","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Domain Validation Secure Server CA 2","May 15 00:00:00 2019 GMT","Nov 21 23:59:59 2019 GMT"
www.quantshack.com,104.24.12.104,tcp,443,https,1,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Domain Validation Secure Server CA 2","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Certification Authority","Sep 25 00:00:00 2014 GMT","Sep 24 23:59:59 2029 GMT"
www.quantshack.com,104.24.12.104,tcp,443,https,2,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Certification Authority","/C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root","May 30 10:48:38 2000 GMT","May 30 10:48:38 2020 GMT"
www.quantshack.com,104.24.12.104,tcp,8443,unknown,0,"/OU=Domain Control Validated/OU=PositiveSSL Multi-Domain/CN=ssl377536.cloudflaressl.com","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Domain Validation Secure Server CA 2","May 15 00:00:00 2019 GMT","Nov 21 23:59:59 2019 GMT"
www.quantshack.com,104.24.12.104,tcp,8443,unknown,1,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Domain Validation Secure Server CA 2","/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Certification Authority","Sep 25 00:00:00 2014 GMT","Sep 24 23:59:59 2029 GMT"
www.quantshack.com,104.24.12.104,tcp,8443,unknown,2,"/C=GB/ST=Greater Manchester/L=Salford/O=COMODO CA Limited/CN=COMODO ECC Certification Authority","/C=SE/O=AddTrust AB/OU=AddTrust External TTP Network/CN=AddTrust External CA Root","May 30 10:48:38 2000 GMT","May 30 10:48:38 2020 GMT"
